epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.2487,0.87352,1.54733,0.96787,0.00498,1,0.995,0.50283,1.74902,2.24629,1.81466,0.0811,0.0021,0.0021
2,80.3302,0.9115,0.80336,1.03214,0.0029,0.66667,0.0045,0.00058,3.9189,3.18034,4.64464,0.0612574,0.00425743,0.00425743
3,124.062,0.83957,0.6866,0.98307,0.27773,0.92857,0.32947,0.06862,2.46763,2.8142,2.60365,0.0413713,0.0063713,0.0063713
4,178.055,0.78429,0.61251,0.93702,0.28102,1,0.65703,0.35822,1.05175,11.477,1.20186,0.0214416,0.00844161,0.00844161
5,262.067,0.77786,0.58053,0.93129,0.52846,1,0.52899,0.38668,0.80678,1.9713,0.94841,0.009604,0.009604,0.009604
6,309.988,0.77063,0.56848,0.93917,0.993,1,0.995,0.78159,0.84509,2.881,1.14184,0.009505,0.009505,0.009505
7,385.863,0.68426,0.52827,0.91854,0.31805,0.90476,0.36964,0.07574,2.61573,8.34681,3.73753,0.009406,0.009406,0.009406
8,454.898,0.65082,0.49502,0.91749,0.47937,1,0.91246,0.55715,1.43629,2.05186,1.66899,0.009307,0.009307,0.009307
9,526.59,0.68157,0.48978,0.91405,0.71117,0.93812,0.89989,0.46946,1.7526,2.06579,2.81396,0.009208,0.009208,0.009208
10,596.883,0.6565,0.47079,0.89995,0.99827,1,0.995,0.90229,0.6143,0.43365,0.92215,0.009109,0.009109,0.009109
11,667.268,0.71703,0.49414,0.92072,0.99841,1,0.995,0.90147,0.52325,0.41219,0.84624,0.00901,0.00901,0.00901
12,733.707,0.63407,0.48335,0.89416,0.99302,1,0.995,0.90911,0.44086,0.49825,0.80235,0.008911,0.008911,0.008911
13,786.706,0.5761,0.42784,0.88508,0.99793,1,0.995,0.92546,0.42319,0.42235,0.81139,0.008812,0.008812,0.008812
14,835.547,0.57933,0.42787,0.89035,0.99808,1,0.995,0.89172,0.60155,0.50746,0.82317,0.008713,0.008713,0.008713
15,883.952,0.53599,0.41653,0.87206,0.99825,1,0.995,0.86514,0.66004,0.61633,0.84755,0.008614,0.008614,0.008614
16,949.864,0.58375,0.42332,0.89778,0.99805,1,0.995,0.91695,0.44063,0.3289,0.84563,0.008515,0.008515,0.008515
17,1019.17,0.57356,0.41433,0.87599,0.99865,1,0.995,0.93997,0.36984,0.32139,0.78958,0.008416,0.008416,0.008416
18,1090.84,0.56367,0.41988,0.86866,0.99836,1,0.995,0.856,0.53892,0.30738,0.80412,0.008317,0.008317,0.008317
19,1157.08,0.51527,0.39191,0.87518,0.99815,1,0.995,0.8786,0.45765,0.33174,0.79091,0.008218,0.008218,0.008218
20,1225.15,0.49299,0.37464,0.86731,0.99828,1,0.995,0.91666,0.50342,0.37797,0.79276,0.008119,0.008119,0.008119
21,1291.99,0.49819,0.38334,0.87342,0.9973,1,0.995,0.92553,0.47704,0.37224,0.78565,0.00802,0.00802,0.00802
22,1361.01,0.50352,0.37328,0.86365,0.99863,1,0.995,0.89499,0.46741,0.30634,0.79117,0.007921,0.007921,0.007921
23,1427.86,0.48418,0.36879,0.86539,0.99866,1,0.995,0.91507,0.41126,0.33568,0.78085,0.007822,0.007822,0.007822
24,1507.63,0.50133,0.36626,0.86929,0.99764,1,0.995,0.95624,0.35983,0.40815,0.78033,0.007723,0.007723,0.007723
25,1580.81,0.46845,0.35882,0.86676,0.99862,1,0.995,0.94369,0.33352,0.36786,0.78109,0.007624,0.007624,0.007624
26,1656.14,0.47642,0.35638,0.85925,0.99867,1,0.995,0.92607,0.35353,0.34972,0.79604,0.007525,0.007525,0.007525
27,1714.87,0.4953,0.35872,0.86711,0.99857,1,0.995,0.91518,0.41441,0.30926,0.80533,0.007426,0.007426,0.007426
28,1778.05,0.49557,0.35958,0.8507,0.99858,1,0.995,0.94101,0.37178,0.26118,0.79242,0.007327,0.007327,0.007327
29,1841.03,0.44984,0.33558,0.86502,0.99865,1,0.995,0.94021,0.32043,0.22047,0.77316,0.007228,0.007228,0.007228
30,1896.07,0.47035,0.33836,0.84583,0.9985,1,0.995,0.91546,0.42874,0.28555,0.79008,0.007129,0.007129,0.007129
31,1945.59,0.5267,0.37361,0.87231,0.99858,1,0.995,0.95747,0.36524,0.31279,0.77648,0.00703,0.00703,0.00703
32,1996.71,0.47455,0.36065,0.8664,0.99868,1,0.995,0.9367,0.34728,0.27617,0.77818,0.006931,0.006931,0.006931
33,2060.82,0.45355,0.32596,0.86119,1,1,0.995,0.97329,0.30317,0.24764,0.76994,0.006832,0.006832,0.006832
34,2132.85,0.47273,0.32882,0.84851,0.99869,1,0.995,0.94987,0.41622,0.3114,0.78237,0.006733,0.006733,0.006733
35,2197.26,0.46156,0.33324,0.87214,0.99868,1,0.995,0.96281,0.38696,0.24468,0.77288,0.006634,0.006634,0.006634
36,2247.09,0.47718,0.33264,0.8499,0.99873,1,0.995,0.91095,0.47264,0.44967,0.78212,0.006535,0.006535,0.006535
37,2274.44,0.45911,0.33065,0.85811,0.99867,1,0.995,0.95751,0.31051,0.32362,0.77776,0.006436,0.006436,0.006436
38,2326.96,0.44001,0.32263,0.84779,0.9987,1,0.995,0.93949,0.40472,0.30195,0.77938,0.006337,0.006337,0.006337
39,2379.27,0.43452,0.31884,0.85055,0.99866,1,0.995,0.97271,0.27088,0.32318,0.77039,0.006238,0.006238,0.006238
40,2432.33,0.42578,0.31113,0.85126,0.99871,1,0.995,0.98058,0.33133,0.37406,0.77508,0.006139,0.006139,0.006139
41,2485.61,0.40681,0.31024,0.85165,0.99872,1,0.995,0.92629,0.40791,0.38635,0.77731,0.00604,0.00604,0.00604
42,2536.45,0.41085,0.3072,0.83203,0.99872,1,0.995,0.96561,0.34468,0.26408,0.77558,0.005941,0.005941,0.005941
43,2590.13,0.43471,0.31162,0.85126,0.9987,1,0.995,0.94428,0.37569,0.27408,0.77557,0.005842,0.005842,0.005842
44,2643.42,0.41386,0.30415,0.84943,0.99869,1,0.995,0.9737,0.32076,0.2947,0.76054,0.005743,0.005743,0.005743
45,2696.41,0.41079,0.29934,0.83522,1,1,0.995,0.9677,0.27434,0.24556,0.76168,0.005644,0.005644,0.005644
46,2744.78,0.43186,0.30622,0.86094,0.99867,1,0.995,0.96401,0.26587,0.21693,0.75855,0.005545,0.005545,0.005545
47,2792.33,0.39767,0.29281,0.84712,0.99873,1,0.995,0.94533,0.35609,0.20795,0.76836,0.005446,0.005446,0.005446
48,2836.32,0.40051,0.29342,0.85575,0.99787,1,0.995,0.97307,0.35777,0.28148,0.78329,0.005347,0.005347,0.005347
49,2890.16,0.4102,0.29867,0.849,0.99786,1,0.995,0.91992,0.44335,0.21097,0.776,0.005248,0.005248,0.005248
50,2943.37,0.419,0.30026,0.85521,0.99847,1,0.995,0.90989,0.42998,0.31257,0.78555,0.005149,0.005149,0.005149
51,2997.03,0.40898,0.30998,0.8432,0.99863,1,0.995,0.96181,0.27289,0.19795,0.76583,0.00505,0.00505,0.00505
52,3050.2,0.39498,0.28858,0.84029,0.99873,1,0.995,0.94697,0.35641,0.24683,0.77331,0.004951,0.004951,0.004951
53,3100.47,0.42857,0.30717,0.85279,1,1,0.995,0.90707,0.32609,0.24269,0.77168,0.004852,0.004852,0.004852
54,3154.04,0.41963,0.30406,0.84843,1,1,0.995,0.93752,0.35928,0.27338,0.7888,0.004753,0.004753,0.004753
55,3208.63,0.40701,0.28324,0.85545,1,1,0.995,0.9497,0.39353,0.2766,0.77336,0.004654,0.004654,0.004654
56,3261.47,0.39945,0.28283,0.85549,0.99869,1,0.995,0.95267,0.31964,0.2442,0.78245,0.004555,0.004555,0.004555
57,3317.1,0.3957,0.28562,0.84366,0.99863,1,0.995,0.96492,0.3606,0.31219,0.77192,0.004456,0.004456,0.004456
58,3369.68,0.40443,0.29079,0.84415,0.99865,1,0.995,0.93342,0.39271,0.30331,0.77162,0.004357,0.004357,0.004357
59,3423.64,0.41834,0.29764,0.84677,0.9987,1,0.995,0.94555,0.28966,0.26658,0.76762,0.004258,0.004258,0.004258
60,3478.24,0.38972,0.27459,0.84045,0.99871,1,0.995,0.96021,0.34077,0.31724,0.76905,0.004159,0.004159,0.004159
61,3531.73,0.38801,0.2664,0.84456,1,1,0.995,0.97378,0.31134,0.21846,0.76664,0.00406,0.00406,0.00406
62,3592.56,0.38059,0.27167,0.83803,0.99871,1,0.995,0.93578,0.32429,0.21996,0.78085,0.003961,0.003961,0.003961
63,3650.75,0.35746,0.25657,0.84726,1,1,0.995,0.95752,0.30995,0.19203,0.77645,0.003862,0.003862,0.003862
64,3705.11,0.38211,0.26506,0.84233,1,1,0.995,0.95388,0.33382,0.18916,0.76808,0.003763,0.003763,0.003763
65,3760.02,0.37122,0.25507,0.83118,1,1,0.995,0.96678,0.35856,0.23678,0.76963,0.003664,0.003664,0.003664
66,3814.45,0.35897,0.2565,0.84053,0.9987,1,0.995,0.97879,0.31223,0.19797,0.76383,0.003565,0.003565,0.003565
67,3869.37,0.36732,0.26442,0.84039,0.99869,1,0.995,0.97317,0.33615,0.24861,0.76488,0.003466,0.003466,0.003466
68,3923.37,0.36979,0.26899,0.84288,0.99871,1,0.995,0.96383,0.27382,0.19921,0.76408,0.003367,0.003367,0.003367
