epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,72.3067,0.91584,2.52012,1.03568,0.72303,0.19492,0.14406,0.05448,1.37,2.79687,1.73141,0.0775,0.0025,0.0025
2,150.371,0.71399,1.3897,0.924,0.12204,0.52186,0.05456,0.01371,3.07217,132.174,5.77832,0.0540495,0.00504951,0.00504951
3,213.058,0.70181,1.17156,0.92353,0.43681,0.35779,0.30068,0.15892,1.31679,5.3714,1.77087,0.0305475,0.00754754,0.00754754
4,276.583,0.6544,1.05228,0.89567,0.20663,0.6687,0.48887,0.378,0.89647,5.15775,1.21154,0.009703,0.009703,0.009703
5,336.128,0.62392,0.95604,0.88621,0.5456,0.63116,0.58604,0.46376,0.71373,4.26047,0.92187,0.009604,0.009604,0.009604
6,397.186,0.6206,0.91491,0.89143,0.50092,0.62702,0.49379,0.34205,1.0171,3.04661,1.49135,0.009505,0.009505,0.009505
7,467.744,0.61744,0.86707,0.88319,0.52883,0.6404,0.60991,0.47722,0.75422,2.14024,0.92337,0.009406,0.009406,0.009406
8,549.459,0.5592,0.78793,0.86922,0.43686,0.72823,0.57764,0.43428,0.87599,1.59006,1.1328,0.009307,0.009307,0.009307
9,637.955,0.4798,0.72772,0.85489,0.83799,0.48923,0.77232,0.65799,0.67068,1.30829,0.89338,0.009208,0.009208,0.009208
10,700.673,0.50807,0.70419,0.86139,0.78873,0.56363,0.72062,0.59403,0.63656,1.28643,0.85731,0.009109,0.009109,0.009109
11,761.937,0.47922,0.6675,0.85256,0.76651,0.63775,0.80665,0.66528,0.68088,0.87876,0.96778,0.00901,0.00901,0.00901
12,825.876,0.43644,0.62029,0.84241,0.75748,0.77093,0.84856,0.74496,0.70884,0.98453,1.0296,0.008911,0.008911,0.008911
13,888.948,0.41466,0.59154,0.83715,0.79092,0.65012,0.74457,0.60464,0.77615,1.18199,1.02713,0.008812,0.008812,0.008812
14,951.56,0.4329,0.57675,0.83783,0.72716,0.73427,0.77728,0.66847,0.65556,1.27652,0.96023,0.008713,0.008713,0.008713
15,1011.15,0.40058,0.55521,0.84108,0.78235,0.62531,0.74516,0.59858,0.66653,0.94122,0.91925,0.008614,0.008614,0.008614
16,1069.91,0.37403,0.53297,0.8216,0.64029,0.71794,0.8162,0.66996,0.78549,1.20377,1.04048,0.008515,0.008515,0.008515
17,1128.97,0.37058,0.51703,0.82938,0.87579,0.80255,0.88007,0.78852,0.5013,0.61502,0.84448,0.008416,0.008416,0.008416
18,1188.11,0.35914,0.50072,0.82285,0.73838,0.8561,0.95294,0.8804,0.44811,0.62853,0.81141,0.008317,0.008317,0.008317
19,1248.23,0.3773,0.50722,0.83168,0.90173,0.77857,0.93921,0.87326,0.32765,0.49379,0.77165,0.008218,0.008218,0.008218
20,1310.53,0.38028,0.5049,0.83806,0.91785,0.81984,0.92826,0.86161,0.45335,0.47735,0.83029,0.008119,0.008119,0.008119
21,1366.98,0.35157,0.46917,0.81717,0.9256,0.776,0.90365,0.84955,0.44419,0.52082,0.827,0.00802,0.00802,0.00802
22,1424.45,0.36528,0.49066,0.82587,0.82463,0.73129,0.89224,0.83693,0.32971,0.54646,0.78217,0.007921,0.007921,0.007921
23,1484.42,0.34471,0.45179,0.81569,0.88082,0.84317,0.94486,0.91092,0.34215,0.47601,0.77262,0.007822,0.007822,0.007822
24,1545.56,0.3487,0.44416,0.82222,0.9418,0.89117,0.97024,0.9193,0.3079,0.42763,0.76687,0.007723,0.007723,0.007723
25,1603.81,0.3421,0.4294,0.82494,0.9306,0.89809,0.95826,0.93266,0.26304,0.44431,0.75428,0.007624,0.007624,0.007624
26,1661.47,0.34295,0.42991,0.82813,0.882,0.93215,0.97015,0.89551,0.34537,0.40239,0.78456,0.007525,0.007525,0.007525
27,1724.43,0.34457,0.439,0.82621,0.90638,0.90702,0.97918,0.93645,0.30039,0.38952,0.76653,0.007426,0.007426,0.007426
28,1790.29,0.33985,0.41741,0.82003,0.87788,0.83246,0.95501,0.91127,0.29403,0.46921,0.76155,0.007327,0.007327,0.007327
29,1849.2,0.33712,0.41909,0.81844,0.88416,0.94281,0.98322,0.91235,0.44123,0.45476,0.80235,0.007228,0.007228,0.007228
30,1907.87,0.3236,0.41731,0.81214,0.79899,0.83838,0.92128,0.87242,0.31118,0.77416,0.76899,0.007129,0.007129,0.007129
31,1967.76,0.31887,0.40263,0.80969,0.85674,0.9095,0.96914,0.89298,0.43003,0.53236,0.80597,0.00703,0.00703,0.00703
32,2026.74,0.31646,0.40817,0.82073,0.86358,0.91231,0.96565,0.9372,0.26719,0.37121,0.75645,0.006931,0.006931,0.006931
33,2086.42,0.31277,0.41058,0.8182,0.93189,0.91957,0.96786,0.9186,0.40024,0.49,0.81723,0.006832,0.006832,0.006832
34,2148.07,0.31068,0.40583,0.81412,0.92705,0.93566,0.97761,0.93771,0.34957,0.45715,0.77339,0.006733,0.006733,0.006733
35,2209.75,0.31995,0.38858,0.8214,0.93717,0.91439,0.97857,0.94292,0.31213,0.37075,0.76708,0.006634,0.006634,0.006634
