epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.4258,1.61757,4.15727,1.1457,0.01175,0.16667,0.06169,0.04869,0.82549,3.98121,0.94492,0.0946,0.0006,0.0006
2,32.0935,1.05921,2.59405,0.89977,0.00115,0.16667,0.04464,0.01266,1.87782,3.6288,1.42784,0.0882871,0.00128713,0.00128713
3,47.1674,1.03348,1.98319,0.92419,0.00117,0.16667,0.05114,0.00921,2.93911,3.95038,2.54783,0.0819604,0.0019604,0.0019604
4,63.2275,0.91572,1.73941,0.8952,0.00111,0.16049,0.01285,0.00252,3.5096,4.14996,3.82082,0.0756198,0.00261981,0.00261981
5,79.687,0.86151,1.4999,0.8789,0.00415,0.14198,0.01172,0.00226,4.07524,8.21879,6.9829,0.0692654,0.00326536,0.00326536
6,97.4825,0.79229,1.26386,0.86398,0,0,0,0,4.49025,222.52,8.85731,0.0628971,0.00389705,0.00389705
7,115.384,0.84773,1.25503,0.88452,0,0,0,0,4.61058,12963.8,239.955,0.0565149,0.00451488,0.00451488
8,133.358,0.85968,1.1588,0.89803,0,0,0,0,3.5942,20840.1,219.956,0.0501188,0.00511885,0.00511885
9,160.55,0.85851,1.10005,0.87803,0,0,0,0,2.20872,1168.25,8.57994,0.043709,0.00570896,0.00570896
10,198.919,0.80983,1.04362,0.88214,0.0003,0.04321,0.00019,0.00012,2.65135,518.365,2.6838,0.0372852,0.00628521,0.00628521
11,227.317,0.7989,0.94757,0.88706,0.00073,0.10494,0.00067,0.00012,2.42841,593.307,2.41078,0.0308476,0.0068476,0.0068476
12,251.985,0.85089,0.98456,0.88836,0.0046,0.24523,0.00489,0.00233,1.90124,157.099,1.50467,0.0243961,0.00739613,0.00739613
13,269.009,0.86629,0.95245,0.88174,0.06751,0.21212,0.13708,0.11091,1.03589,49.5633,1.10451,0.0179308,0.0079308,0.0079308
14,284.021,0.81945,0.88298,0.87768,0.13419,0.23625,0.16684,0.13435,1.18065,17.4512,1.11899,0.0114516,0.00845161,0.00845161
15,307.172,0.85375,0.8898,0.87584,0.16438,0.16667,0.16583,0.12787,1.02671,5.6601,1.06094,0.008614,0.008614,0.008614
16,333.084,0.88347,0.91876,0.88499,0.49597,0.16049,0.23023,0.16377,1.00223,4.35226,1.05336,0.008515,0.008515,0.008515
17,358.846,0.76798,0.79662,0.88246,0.46968,0.48392,0.59822,0.43061,0.85074,3.77102,0.99479,0.008416,0.008416,0.008416
18,383.701,0.71083,0.76966,0.85841,0.69963,0.60889,0.73589,0.56725,0.81611,1.71234,0.98785,0.008317,0.008317,0.008317
19,406.284,0.70797,0.72349,0.86055,0.68899,0.55956,0.73947,0.58753,0.78796,1.50825,0.98181,0.008218,0.008218,0.008218
20,429.553,0.73993,0.78552,0.86509,0.83241,0.65896,0.82619,0.66623,0.74765,1.1828,0.97311,0.008119,0.008119,0.008119
21,451.766,0.6998,0.70882,0.84902,0.87094,0.60055,0.81335,0.66513,0.65965,1.20245,0.95514,0.00802,0.00802,0.00802
22,477.377,0.68172,0.66228,0.84982,0.87308,0.54911,0.74851,0.58348,0.73799,1.38211,0.98243,0.007921,0.007921,0.007921
23,501.984,0.67726,0.70356,0.8655,0.88254,0.66901,0.92752,0.69865,0.8239,0.9153,0.98132,0.007822,0.007822,0.007822
24,526.113,0.68509,0.68279,0.8621,0.97388,0.74286,0.87425,0.69334,0.69484,0.96076,0.95722,0.007723,0.007723,0.007723
25,549.861,0.70202,0.66844,0.87045,0.9599,0.74286,0.9005,0.72704,0.73407,0.91572,0.96613,0.007624,0.007624,0.007624
26,573.755,0.7187,0.66593,0.85879,0.96028,0.76667,0.96444,0.75806,0.7516,0.90507,0.96318,0.007525,0.007525,0.007525
27,596.557,0.65959,0.62387,0.84887,0.89067,0.55712,0.75753,0.61853,0.62605,1.17232,0.93559,0.007426,0.007426,0.007426
