epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.62671,1.90784,4.36359,1.26275,0,0,0,0,1.84089,4.2048,1.22284,0.0964,0.0004,0.0004
2,11.9514,1.03372,3.25602,0.89645,0.04509,0.4,0.18606,0.09696,1.36161,3.82161,1.28352,0.0918911,0.00089109,0.00089109
3,18.3738,1.06228,2.1805,0.90131,0.0014,0.2,0.00752,0.00521,1.18194,3.58237,1.14758,0.0873723,0.00137228,0.00137228
4,27.2757,1.02131,1.91196,0.92386,0.0014,0.2,0.00508,0.00369,1.18684,3.46224,1.12839,0.0828436,0.00184357,0.00184357
5,36.022,0.79966,1.81818,0.85402,0.00141,0.2,0.00637,0.00446,1.64532,3.5061,1.40581,0.078305,0.00230496,0.00230496
6,46.0877,0.83338,1.57797,0.88463,0.00321,0.4,0.06846,0.04089,1.54924,3.28795,1.37912,0.0737565,0.00275645,0.00275645
7,55.3227,0.75611,4.3228,0.69731,0.0204,0.4,0.32726,0.19915,1.3754,3.06649,1.2619,0.069198,0.00319804,0.00319804
8,64.0056,0.9419,1.51885,0.91126,0.00169,0.2,0.18001,0.11366,2.02283,3.50304,1.61974,0.0646297,0.00362973,0.00362973
9,73.9751,0.98017,1.49728,0.97147,0,0,0,0,3.2153,148.089,4.16928,0.0600515,0.00405152,0.00405152
10,84.8696,0.83444,1.24568,0.89622,0,0,0,0,2.89597,51.4708,2.84349,0.0554634,0.00446341,0.00446341
11,96.89,0.83709,1.13603,0.92044,0,0,0,0,3.25829,205.473,3.52892,0.0508654,0.0048654,0.0048654
12,107.833,0.86692,1.13009,0.8655,0.00068,0.13333,0.0006,0.00012,3.30383,242.127,2.36095,0.0462575,0.00525749,0.00525749
13,118.464,0.74048,3.32463,0.72541,0.00104,0.2,0.00139,0.00037,2.77844,202.528,1.96899,0.0416397,0.00563968,0.00563968
14,128.685,0.9333,1.04382,0.90434,0.00105,0.2,0.01089,0.00527,2.26024,231.419,1.77582,0.037012,0.00601197,0.00601197
15,140.376,0.85051,1.05715,0.93629,0.00158,0.2,0.00588,0.00129,3.08729,288.252,2.56256,0.0323744,0.00637436,0.00637436
16,151.953,0.84968,1.03103,0.89583,0,0,0,0,4.10465,289.627,4.09978,0.0277268,0.00672685,0.00672685
17,163.942,0.79915,0.92792,0.88267,0.34339,0.13333,0.13432,0.05828,1.99551,39.5956,1.5844,0.0230694,0.00706944,0.00706944
18,174.75,0.77678,0.86184,0.88809,0.39354,0.18333,0.18656,0.0884,1.80242,11.3839,1.42481,0.0184021,0.00740213,0.00740213
19,184.153,0.75172,0.96657,0.87421,0.4,0.17952,0.34922,0.26,1.43704,3.20436,1.27563,0.0137249,0.00772492,0.00772492
20,197.582,0.77653,0.95893,0.89952,0.7461,0.39392,0.48863,0.37485,1.0302,1.87424,1.11995,0.00903781,0.00803781,0.00803781
21,210.772,0.82486,0.87243,0.8378,0.78517,0.4,0.54821,0.42132,0.98431,1.70894,1.11065,0.00802,0.00802,0.00802
22,224.68,0.78609,0.76144,0.89553,0.58431,0.38333,0.50963,0.40268,1.12239,2.22119,1.15834,0.007921,0.007921,0.007921
23,238.833,0.71896,0.77752,0.83896,0.57178,0.35441,0.47284,0.36303,1.05356,3.28776,1.11079,0.007822,0.007822,0.007822
24,252.7,0.75755,0.83223,0.86457,0.28604,0.43333,0.50854,0.33802,1.25781,7.04212,1.19406,0.007723,0.007723,0.007723
25,267.556,0.77919,0.78372,0.88077,0.34445,0.43333,0.4728,0.33118,1.3163,7.26236,1.15561,0.007624,0.007624,0.007624
26,282.095,0.78056,0.78522,0.8864,0.59646,0.43333,0.49323,0.37713,1.11206,6.28048,1.07237,0.007525,0.007525,0.007525
27,295.403,0.7399,0.76729,0.83695,0.23632,0.71429,0.62158,0.46326,0.92604,4.57784,1.0287,0.007426,0.007426,0.007426
28,309.992,0.5916,1.98305,0.6799,0.82304,0.38725,0.62228,0.47648,0.83658,2.15162,1.01118,0.007327,0.007327,0.007327
29,324.305,0.6986,0.68657,0.82765,0.89769,0.42158,0.63192,0.50803,0.72254,1.51782,0.97158,0.007228,0.007228,0.007228
30,338.495,0.76231,0.72789,0.87833,0.9601,0.43333,0.67118,0.527,0.78391,1.50079,0.98458,0.007129,0.007129,0.007129
31,352.88,0.79621,0.77264,0.8376,0.95847,0.44391,0.71403,0.56969,0.78943,1.70643,0.99198,0.00703,0.00703,0.00703
32,367.336,0.79539,0.71449,0.86787,0.74136,0.80291,0.85258,0.7292,0.66908,1.02377,0.95815,0.006931,0.006931,0.006931
33,381.286,0.73289,0.72253,0.83683,0.77897,0.89333,0.862,0.69731,0.74685,0.84057,0.98657,0.006832,0.006832,0.006832
34,395.236,0.71696,0.80315,0.83994,0.74065,0.91381,0.8585,0.69506,0.76641,0.7953,0.99433,0.006733,0.006733,0.006733
35,409.239,0.75184,0.72978,0.84125,0.8637,0.75726,0.82883,0.7175,0.72164,0.75405,0.97351,0.006634,0.006634,0.006634
36,423.51,0.73643,0.71354,0.86612,0.90215,0.78141,0.80408,0.7066,0.62321,0.72516,0.94691,0.006535,0.006535,0.006535
37,437.504,0.52093,1.63473,0.67992,0.92047,0.75456,0.81575,0.6545,0.83363,0.76353,1.01433,0.006436,0.006436,0.006436
38,451.586,0.71798,0.6376,0.86236,0.89458,0.76395,0.82067,0.64301,0.87095,0.8501,1.03114,0.006337,0.006337,0.006337
39,465.422,0.69804,0.65825,0.8438,0.7805,0.73901,0.84365,0.7108,0.71324,1.02414,0.97181,0.006238,0.006238,0.006238
40,479.383,0.6529,0.64442,0.84571,0.6501,0.68518,0.7379,0.61361,0.63113,1.27195,0.94677,0.006139,0.006139,0.006139
41,492.972,0.68392,0.65986,0.86523,0.64696,0.70819,0.73561,0.59717,0.59826,1.17879,0.94371,0.00604,0.00604,0.00604
42,507.375,0.73446,0.67164,0.83522,0.82152,0.74002,0.77236,0.66279,0.60042,0.89498,0.94327,0.005941,0.005941,0.005941
43,521.198,0.64766,0.66152,0.8606,0.9192,0.76712,0.77908,0.6799,0.62297,0.73984,0.94937,0.005842,0.005842,0.005842
44,535.529,0.6388,0.65741,0.8268,0.94108,0.79826,0.79258,0.66838,0.63538,0.57687,0.94944,0.005743,0.005743,0.005743
45,550.207,0.63863,0.61697,0.82934,0.9396,0.8,0.79258,0.67446,0.59145,0.55044,0.94278,0.005644,0.005644,0.005644
46,564.63,0.66155,0.65747,0.85704,0.90693,0.8,0.78105,0.67275,0.62563,0.59911,0.95127,0.005545,0.005545,0.005545
47,578.768,0.6423,0.6328,0.84131,0.90733,0.8,0.78105,0.67491,0.61453,0.62887,0.95053,0.005446,0.005446,0.005446
48,593.836,0.62368,0.67459,0.87305,0.94878,0.8,0.79409,0.68254,0.6763,0.6286,0.9535,0.005347,0.005347,0.005347
49,608.864,0.64604,0.5914,0.86697,0.9398,0.79748,0.79409,0.6826,0.60783,0.61278,0.94374,0.005248,0.005248,0.005248
50,622.997,0.6582,0.55328,0.86885,0.87739,0.79215,0.79409,0.67974,0.56893,0.65676,0.93725,0.005149,0.005149,0.005149
51,638.331,0.55793,0.53216,0.7928,0.84092,0.8,0.79811,0.68135,0.58006,0.7475,0.9386,0.00505,0.00505,0.00505
52,653.108,0.60866,0.52803,0.82962,0.93016,0.8,0.79409,0.68899,0.59671,0.56616,0.94077,0.004951,0.004951,0.004951
53,667.136,0.62403,0.59853,0.82341,0.94833,0.8,0.79258,0.69381,0.58574,0.57868,0.9394,0.004852,0.004852,0.004852
54,681.854,0.58063,0.53139,0.84144,0.94085,0.79735,0.78927,0.70717,0.52781,0.57841,0.93206,0.004753,0.004753,0.004753
55,697.146,0.52941,0.53195,0.81129,0.94277,0.79521,0.77927,0.69398,0.49792,0.5337,0.92798,0.004654,0.004654,0.004654
56,711.495,0.6276,0.51498,0.80736,0.94779,0.8,0.77844,0.69522,0.51675,0.47982,0.93193,0.004555,0.004555,0.004555
57,726.706,0.57381,0.52119,0.8201,0.92964,0.8,0.77844,0.68967,0.54412,0.48435,0.93516,0.004456,0.004456,0.004456
58,741.08,0.64303,0.54644,0.8301,0.91983,0.8,0.78131,0.67631,0.57072,0.46257,0.93999,0.004357,0.004357,0.004357
59,755.26,0.55918,0.50122,0.84768,0.92141,0.8,0.78409,0.66274,0.63387,0.49164,0.95125,0.004258,0.004258,0.004258
60,769.983,0.58857,0.4917,0.85016,0.9386,0.8,0.7959,0.70176,0.62485,0.50641,0.95112,0.004159,0.004159,0.004159
61,783.803,0.55265,0.48579,0.83878,0.94713,0.8,0.7959,0.70343,0.58998,0.53348,0.94666,0.00406,0.00406,0.00406
62,798.473,0.53833,0.47654,0.81486,0.95097,0.8,0.79021,0.69726,0.56515,0.54926,0.94227,0.003961,0.003961,0.003961
63,814.07,0.58507,0.54305,0.83426,0.94307,0.79741,0.77927,0.68715,0.5657,0.53838,0.93973,0.003862,0.003862,0.003862
64,832.102,0.58905,0.52053,0.83967,0.92216,0.79533,0.766,0.63223,0.64172,0.5587,0.94806,0.003763,0.003763,0.003763
65,848.153,0.5805,0.55073,0.81147,0.9173,0.79491,0.766,0.65215,0.57238,0.55566,0.9374,0.003664,0.003664,0.003664
66,863.756,0.54661,0.56647,0.84494,0.91622,0.79438,0.77927,0.68119,0.53739,0.5559,0.93312,0.003565,0.003565,0.003565
67,878.069,0.60918,0.51528,0.82113,0.91477,0.79437,0.78258,0.68657,0.53965,0.54091,0.93388,0.003466,0.003466,0.003466
68,892.218,0.60858,0.49529,0.83634,0.92076,0.79479,0.78409,0.65284,0.6218,0.50917,0.94758,0.003367,0.003367,0.003367
69,906.921,0.59637,0.53244,0.84294,0.9291,0.7858,0.7959,0.66719,0.59778,0.49136,0.94331,0.003268,0.003268,0.003268
70,920.442,0.63648,0.51538,0.83036,0.94096,0.75738,0.7959,0.68969,0.53805,0.48379,0.93453,0.003169,0.003169,0.003169
71,934.476,0.5599,0.48268,0.81923,0.93753,0.75689,0.79811,0.70276,0.51161,0.48459,0.93072,0.00307,0.00307,0.00307
72,949.497,0.55885,0.51763,0.82244,0.93451,0.76765,0.82575,0.72059,0.52496,0.52184,0.93241,0.002971,0.002971,0.002971
73,964.611,0.57916,0.47895,0.81978,0.93219,0.78266,0.82575,0.71483,0.55514,0.53327,0.93672,0.002872,0.002872,0.002872
74,978.272,0.58928,0.55309,0.83177,0.93193,0.79666,0.80917,0.69562,0.60596,0.51642,0.9435,0.002773,0.002773,0.002773
75,992.811,0.55434,0.48359,0.80503,0.93783,0.79853,0.80087,0.69494,0.62665,0.48043,0.94598,0.002674,0.002674,0.002674
76,1007.63,0.62204,0.51648,0.81995,0.94247,0.8,0.79409,0.70058,0.53126,0.43809,0.93147,0.002575,0.002575,0.002575
77,1021.52,0.58248,0.49202,0.85216,0.942,0.8,0.79131,0.69827,0.50864,0.44696,0.92821,0.002476,0.002476,0.002476
78,1035.8,0.57425,0.51235,0.83305,0.94337,0.8,0.79021,0.69759,0.51509,0.45166,0.92921,0.002377,0.002377,0.002377
79,1050.88,0.51312,0.47114,0.83136,0.94482,0.8,0.79927,0.70763,0.51684,0.46084,0.93054,0.002278,0.002278,0.002278
80,1065.29,0.5411,0.4538,0.78935,0.94224,0.8,0.79647,0.70421,0.57262,0.5099,0.93884,0.002179,0.002179,0.002179
81,1080.6,0.54122,0.45868,0.83337,0.94312,0.8,0.79647,0.70338,0.57337,0.50613,0.93846,0.00208,0.00208,0.00208
82,1095.42,0.72962,0.67193,0.86935,0.94479,0.8,0.79771,0.71269,0.52864,0.48299,0.93224,0.001981,0.001981,0.001981
83,1109.12,0.48455,0.43849,0.7923,0.94345,0.8,0.78927,0.69199,0.4935,0.47563,0.92797,0.001882,0.001882,0.001882
84,1124.49,0.49864,0.43184,0.80852,0.93713,0.8,0.78927,0.69156,0.50984,0.47577,0.93026,0.001783,0.001783,0.001783
85,1138.64,0.42325,1.22436,0.64352,0.93817,0.8,0.78927,0.68631,0.53888,0.4702,0.93352,0.001684,0.001684,0.001684
