epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,141.303,3.47761,3.60752,3.55703,0.05622,0.35897,0.03653,0.00783,3.23252,3.51284,4.38525,0.0793,0.0023,0.0023
2,280.967,3.17473,2.81353,3.09012,0.01934,0.10256,0.00814,0.00137,3.46015,4.62911,6.10615,0.0574674,0.00446735,0.00446735
3,403.205,3.19461,2.71983,3.24881,0.004,0.12821,0.00148,0.0003,3.6984,32.3049,4.75867,0.0353971,0.0063971,0.0063971
4,572.27,3.0416,2.79696,3.32138,0.00407,0.02564,0.00123,0.00026,3.16206,41.3717,3.52861,0.0130892,0.00808925,0.00808925
5,753.309,2.82894,2.74908,3.38737,0.00012,0.02564,6e-05,1e-05,4.5645,179.84,9.61124,0.00802,0.00802,0.00802
6,924.004,2.8709,2.7188,3.04344,0.04612,0.12821,0.02462,0.00442,3.17837,9.80974,4.47341,0.007525,0.007525,0.007525
7,1067.89,2.76972,2.63407,3.00799,0.02185,0.15385,0.01093,0.00265,3.02172,10.3919,3.51495,0.00703,0.00703,0.00703
8,1193.41,2.67635,2.5958,2.9925,0.09551,0.20513,0.07908,0.02281,2.65871,8.11523,3.01594,0.006535,0.006535,0.006535
9,1355.1,2.59295,2.57215,2.9201,0.15525,0.07692,0.04245,0.01288,2.75183,3.42744,3.10358,0.00604,0.00604,0.00604
10,1489.59,2.6515,2.55298,2.95024,0.02413,0.41026,0.01984,0.00594,2.53732,3.55887,3.02674,0.005545,0.005545,0.005545
11,1672.83,2.42997,2.54304,2.81079,0.0787,0.4359,0.08529,0.02952,2.36434,2.53229,2.99346,0.00505,0.00505,0.00505
12,1824.52,2.49817,2.29534,2.70317,0.26878,0.15385,0.16448,0.05804,2.56649,2.49346,2.84049,0.004555,0.004555,0.004555
13,1968.52,2.47202,2.17874,2.63408,0.32984,0.23077,0.21148,0.06995,2.4013,2.21165,2.46838,0.00406,0.00406,0.00406
14,2184.48,2.39871,2.16531,2.59698,0.18852,0.41026,0.19931,0.08315,2.33065,2.08839,2.48275,0.003565,0.003565,0.003565
15,2383.91,2.39575,2.13588,2.47873,0.21562,0.35897,0.21041,0.08596,2.34502,1.99282,2.51735,0.00307,0.00307,0.00307
16,2565.52,2.37911,2.0201,2.5455,0.16535,0.53846,0.18033,0.06646,2.40959,2.19474,2.65116,0.002575,0.002575,0.002575
17,2753.23,2.34365,1.92622,2.55499,0.30922,0.35897,0.33746,0.14304,2.35271,2.21299,2.32349,0.00208,0.00208,0.00208
18,2946.07,2.37347,1.9332,2.49256,0.19379,0.48718,0.22967,0.10731,2.262,2.04349,2.45239,0.001585,0.001585,0.001585
19,3135.95,2.34293,1.86693,2.46503,0.3664,0.46154,0.34018,0.15798,2.22261,1.88102,2.40374,0.00109,0.00109,0.00109
20,3308.85,2.25116,1.85474,2.4552,0.30054,0.46154,0.29544,0.13865,2.27354,1.98207,2.49005,0.000595,0.000595,0.000595
